City ID,City,Lat,Lng,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Country,Date
0,Albany,42.6001,-73.9662,81.45,55,42,1.99,US,1661625729
1,Avarua,-21.2078,-159.775,73.45,73,19,9.22,CK,1661625754
2,Orocué,4.7912,-71.3354,88.39,57,30,3.33,CO,1661626037
3,Husavik,66.0449,-17.3389,48.74,67,14,4.72,IS,1661626038
4,Bluff,-46.6,168.3333,46.8,74,100,1.41,NZ,1661626038
5,Mataura,-46.1927,168.8643,46.47,89,100,0.49,NZ,1661626039
6,Castro,-24.7911,-50.0119,74.53,46,0,5.84,BR,1661626039
7,Mehamn,71.0357,27.8492,58.91,94,75,18.41,NO,1661626040
8,Atambua,-9.1061,124.8925,69.33,87,94,4.54,ID,1661626040
9,Saint-François,46.4154,3.9054,72.84,56,0,3.44,FR,1661626040
10,Punta Arenas,-53.15,-70.9167,41.11,65,40,25.32,CL,1661626041
11,Lebu,-37.6167,-73.65,51.15,62,0,18.79,CL,1661626041
12,Rikitea,-23.1203,-134.9692,70.99,65,99,23.98,PF,1661626041
13,Yangambi,0.8102,24.4336,75.22,75,100,3.04,CD,1661626042
14,Saint-Philippe,-21.3585,55.7679,71.19,85,62,13.78,RE,1661626042
15,Thompson,55.7435,-97.8558,78.96,53,40,11.5,CA,1661625935
16,Vallenar,-28.5708,-70.7581,73.56,36,0,5.61,CL,1661626042
17,Ushuaia,-54.8,-68.3,37.02,80,75,33.38,AR,1661626043
18,Jamestown,42.097,-79.2353,78.03,44,0,4.61,US,1661626043
19,George Town,5.4112,100.3354,78.89,92,20,3.44,MY,1661625991
20,Vaini,-21.2,-175.2,69.96,88,20,5.75,TO,1661626044
21,Tomé,-36.6167,-72.95,56.01,48,0,8.79,CL,1661626044
22,Kautokeino,69.0125,23.0412,51.73,86,100,2.01,NO,1661625848
23,Ancud,-41.8697,-73.8203,46.22,61,86,2.91,CL,1661626042
24,Anloga,5.7947,0.8973,75.22,88,100,15.99,GH,1661626045
25,Busselton,-33.65,115.3333,50.43,77,99,10.87,AU,1661626045
26,Necochea,-38.5473,-58.7368,47.37,53,6,26.71,AR,1661626046
27,Nikolayevsk-on-Amur,53.1406,140.73,51.33,99,100,4.68,RU,1661626046
28,Cap Malheureux,-19.9842,57.6142,72.46,75,47,8.99,MU,1661626046
29,Lorengau,-2.0226,147.2712,80.49,81,95,11.61,PG,1661626047
30,Ulundi,-28.3352,31.4162,59.83,78,30,6.64,ZA,1661626047
31,Mikuni,36.2171,136.1519,71.51,82,100,14.32,JP,1661626047
32,Nuuk,64.1835,-51.7216,50.61,71,40,8.05,GL,1661626048
33,Mount Isa,-20.7333,139.5,51.57,50,0,0.0,AU,1661626048
34,Cariati,39.4922,16.9594,78.71,67,82,2.71,IT,1661626049
35,Meulaboh,4.1363,96.1285,75.54,89,100,6.35,ID,1661626049
36,Finsterwalde,51.6333,13.7167,71.1,92,94,8.28,DE,1661626050
37,Avera,33.194,-82.5271,90.55,52,100,4.83,US,1661626050
38,Yellowknife,62.456,-114.3525,66.72,48,40,8.05,CA,1661625940
39,Pontes e Lacerda,-15.2261,-59.3353,101.1,17,6,7.23,BR,1661626051
40,Roald,62.5833,6.1333,58.15,82,75,6.91,NO,1661626051
41,Sapa,5.1544,120.3241,81.46,78,99,5.19,PH,1661626051
42,Balkhash,46.844,74.9804,73.2,44,8,9.66,KZ,1661626052
43,Hilo,19.7297,-155.09,81.1,73,20,6.91,US,1661625803
44,Kibakwe,-6.7167,36.3667,63.5,74,86,5.77,TZ,1661626053
45,Butaritari,3.0707,172.7902,81.23,79,84,15.5,KI,1661626053
46,Sabang,5.8933,95.3214,81.07,79,100,11.41,ID,1661626053
47,Broome,42.2506,-75.833,82.02,53,0,1.99,US,1661626054
48,Coruripe,-10.1256,-36.1756,74.97,82,34,12.95,BR,1661626054
49,Arraial do Cabo,-22.9661,-42.0278,78.76,65,0,20.71,BR,1661626054
50,Barrow,71.2906,-156.7887,37.42,93,100,9.22,US,1661626055
51,Rubiataba,-15.1644,-49.8033,91.2,18,47,5.26,BR,1661626055
52,Tiznit Province,29.5833,-9.5,67.28,76,21,5.64,MA,1661626056
53,Anito,12.4497,125.2886,77.31,91,100,6.71,PH,1661626056
54,Tasiilaq,65.6145,-37.6368,41.16,96,100,13.38,GL,1661626056
55,Øksfjord,70.2396,22.3479,54.0,89,99,3.62,NO,1661626057
56,Umluj,25.0213,37.2685,88.9,56,16,5.01,SA,1661626057
57,San Patricio,28.017,-97.5169,93.06,47,93,8.34,US,1661626058
58,Rockhampton,-23.3833,150.5,58.89,77,40,8.05,AU,1661626058
59,Puerto Ayora,-0.7393,-90.3518,75.16,86,70,7.0,EC,1661626058
60,Khatanga,71.9667,102.5,36.9,82,100,11.36,RU,1661625973
61,Coolum Beach,-26.5333,153.1,57.34,78,76,5.66,AU,1661626059
62,Bandarbeyla,9.4942,50.8122,75.15,85,56,29.97,SO,1661626059
63,Ati,13.2154,18.3353,78.96,72,92,9.28,TD,1661626060
64,Hithadhoo,-0.6,73.0833,82.02,73,100,10.49,MV,1661626060
65,Upernavik,72.7868,-56.1549,39.61,89,58,7.07,GL,1661625974
66,Oranjemund,-28.55,16.4333,55.2,83,0,13.71,NA,1661626061
67,Hobyo,5.3505,48.5268,75.99,82,1,21.83,SO,1661626061
68,Mandalgovi,45.7625,106.2708,52.5,84,100,17.05,MN,1661626061
69,Thinadhoo,0.5333,72.9333,80.82,75,36,9.71,MV,1661626062
70,Hong Kong,22.2855,114.1577,85.32,88,43,8.01,HK,1661626008
71,Dingle,10.9995,122.6711,75.63,91,100,2.35,PH,1661626062
72,Kapaa,22.0752,-159.319,82.11,69,100,18.41,US,1661626062
73,Poum,-20.2333,164.0167,73.92,81,100,10.18,NC,1661626063
74,Bredasdorp,-34.5322,20.0403,47.52,81,0,4.61,ZA,1661626063
75,Teguise,29.0605,-13.564,73.62,57,20,17.27,ES,1661626063
76,Vignola,44.483,11.0048,75.2,89,7,5.99,IT,1661626064
77,Sena Madureira,-9.0656,-68.6569,96.39,30,97,2.01,BR,1661625844
78,Umred,20.85,79.3333,84.49,88,100,6.64,IN,1661626064
79,Zaranj,30.9667,61.8833,87.76,10,0,26.33,AF,1661626065
80,Dodge City,37.7528,-100.0171,82.65,57,20,26.46,US,1661626065
81,Ixtapa,20.7,-105.2,90.23,62,20,4.61,MX,1661626066
82,Tuatapere,-46.1333,167.6833,42.94,86,67,2.86,NZ,1661625987
83,Caravelas,-17.7125,-39.2481,75.49,70,5,8.05,BR,1661626066
84,Ibirubá,-28.6275,-53.0897,76.87,73,5,9.37,BR,1661626066
85,Yokadouma,3.5167,15.05,68.72,97,100,0.76,CM,1661626067
86,Kousséri,12.0769,15.0306,71.56,94,40,4.61,CM,1661626067
87,Dicabisagan,17.0818,122.4157,78.67,86,100,2.44,PH,1661626067
88,Padang,-0.9492,100.3543,76.73,90,100,3.04,ID,1661626068
89,Hisor,38.525,68.5512,69.55,28,3,2.24,TJ,1661626068
90,Ribeira Grande,38.5167,-28.7,79.2,73,40,20.71,PT,1661626068
91,Torbay,47.6666,-52.7314,72.55,72,40,17.27,CA,1661626069
92,Qaanaaq,77.484,-69.3632,38.07,60,99,1.77,GL,1661626069
93,Isangel,-19.55,169.2667,71.71,88,40,4.61,VU,1661626069
94,Río Gallegos,-51.6226,-69.2181,42.85,39,40,29.93,AR,1661626070
95,Hobart,-42.8794,147.3294,49.86,91,100,6.91,AU,1661626070
96,Gornopravdinsk,60.05,69.9,51.64,74,90,6.2,RU,1661626070
97,Leningradskiy,69.3833,178.4167,36.36,91,100,5.75,RU,1661625899
98,Nola,40.922,14.5329,82.17,75,2,3.44,IT,1661626071
99,Bambanglipuro,-7.95,110.2833,75.36,81,100,7.96,ID,1661626071
100,Atuona,-9.8,-139.0333,76.86,70,81,21.05,PF,1661626072
101,Iqaluit,63.7506,-68.5145,40.73,93,75,2.3,CA,1661626072
102,Várzea da Palma,-17.5981,-44.7308,88.86,22,19,4.65,BR,1661626073
103,Augusto Corrêa,-1.0217,-46.635,83.57,64,97,8.1,BR,1661626073
104,Manono,-7.3,27.4167,81.19,45,44,3.44,CD,1661626073
105,Loralai,30.3705,68.598,73.63,74,38,2.39,PK,1661625882
106,Dikson,73.5069,80.5464,38.48,64,9,5.64,RU,1661626074
107,San Policarpo,12.1791,125.5072,79.18,88,100,9.1,PH,1661626075
108,Moranbah,-22.0016,148.0466,61.61,79,100,20.31,AU,1661626075
109,Paamiut,61.994,-49.6678,43.32,73,100,1.59,GL,1661626075
110,Kharp,66.8014,65.8081,47.25,94,100,4.81,RU,1661626076
111,Solok,-0.7918,100.6593,70.56,97,100,1.39,ID,1661626076
112,Tyrma,50.0833,132.1667,44.33,96,0,2.46,RU,1661626077
113,Comodoro Rivadavia,-45.8667,-67.5,49.86,17,0,18.41,AR,1661626061
114,Tura,25.5198,90.2201,74.61,93,100,7.58,IN,1661626077
115,Challapata,-18.9,-66.7667,57.7,11,4,7.23,BO,1661626077
116,Aljezur,37.3191,-8.8033,64.06,86,0,6.64,PT,1661626078
117,Erdaojiang,41.7764,126.0319,48.24,97,0,2.19,CN,1661626078
118,Codrington,-38.2667,141.9667,53.73,69,100,9.75,AU,1661626078
119,Lavrentiya,65.5833,-171.0,43.29,85,99,11.05,RU,1661626079
120,Riberalta,-10.9833,-66.1,91.6,55,58,9.22,BO,1661626079
121,Cherskiy,68.75,161.3,45.12,74,6,6.44,RU,1661626079
122,Iracoubo,5.4802,-53.2011,84.0,70,9,10.69,GF,1661626080
123,Tiksi,71.6872,128.8694,43.39,86,19,2.84,RU,1661626080
124,Cockburn Town,21.4612,-71.1419,85.96,66,75,9.22,TC,1661626081
125,Mount Vernon,40.9126,-73.8371,90.95,50,75,5.75,US,1661625844
126,Katsuura,35.1333,140.3,80.19,84,100,10.65,JP,1661626081
127,Pātuli,23.55,88.25,81.64,85,100,8.99,IN,1661626082
128,Ilulissat,69.2167,-51.1,44.62,65,20,9.22,GL,1661625888
129,Itoman,26.1247,127.6694,84.22,89,38,1.14,JP,1661626082
130,Zykovo,55.9519,93.1461,47.14,82,100,10.76,RU,1661626083
131,Souillac,-20.5167,57.5167,71.98,88,75,11.5,MU,1661626027
132,Nsanje,-16.92,35.262,76.51,36,4,4.74,MW,1661626084
133,Guerrero Negro,27.9769,-114.0611,77.99,64,29,13.58,MX,1661626084
134,Samarai,-10.6167,150.6667,78.33,85,94,12.77,PG,1661626084
135,Ambovombe,-25.1667,46.0833,70.12,62,28,5.01,MG,1661626085
136,Gonder,12.6,37.4667,55.69,93,100,1.01,ET,1661626085
137,Port Elizabeth,-33.918,25.5701,57.49,79,0,11.5,ZA,1661626086
138,Ostuacán,17.4167,-93.3,84.18,67,95,4.56,MX,1661625979
139,Zhuhai,22.2769,113.5678,85.86,89,0,4.61,CN,1661626086
140,Lüderitz,-26.6481,15.1594,55.47,73,0,12.08,NA,1661626086
141,Raudeberg,61.9875,5.1352,54.27,25,26,9.82,NO,1661625925
142,Port Hardy,50.6996,-127.4199,62.78,72,75,8.05,CA,1661626087
143,Hasaki,35.7333,140.8333,79.29,86,100,9.66,JP,1661625891
144,Meadow Lake,34.8014,-106.5436,84.4,46,0,8.75,US,1661626088
145,Bat Khela,34.6167,71.9714,75.29,70,33,3.44,PK,1661625895
146,Nyzhnya Duvanka,49.5846,38.1743,78.91,19,100,9.35,UA,1661626088
147,Seoul,37.5683,126.9778,65.64,88,0,4.61,KR,1661625999
148,Henties Bay,-22.116,14.2845,53.2,87,0,7.92,NA,1661626089
149,Malindi,-3.2175,40.1191,74.39,80,0,14.56,KE,1661626089
150,Bāgeshwar,29.85,79.7667,69.85,94,17,1.23,IN,1661626089
151,Alta Floresta,-9.8756,-56.0861,98.42,32,40,5.75,BR,1661626090
152,Hermanus,-34.4187,19.2345,45.81,75,0,3.83,ZA,1661626090
153,Youghal,51.95,-7.8506,63.61,84,100,4.25,IE,1661626091
154,Tuktoyaktuk,69.4541,-133.0374,51.8,93,100,0.0,CA,1661626091
155,Basco,20.4487,121.9702,84.61,77,100,8.52,PH,1661626045
156,Klaksvík,62.2266,-6.589,49.12,80,68,7.9,FO,1661626091
157,Cayenne,4.9333,-52.3333,78.84,78,40,3.44,GF,1661625806
158,Carballo,43.213,-8.691,80.02,81,80,2.77,ES,1661626092
159,Taltal,-25.4,-70.4833,62.17,68,22,7.07,CL,1661626093
160,Salalah,17.0151,54.0924,77.09,94,100,5.75,OM,1661626093
161,Mahébourg,-20.4081,57.7,72.25,88,75,11.5,MU,1661626093
162,Griffith,41.5284,-87.4237,85.1,57,0,5.75,US,1661626033
163,Richards Bay,-28.783,32.0377,68.09,75,100,14.74,ZA,1661626094
164,Rawlins,41.7911,-107.2387,79.36,22,0,11.5,US,1661626095
165,Tautira,-17.7333,-149.15,75.31,75,45,2.93,PF,1661626095
166,Port Alfred,-33.5906,26.891,59.07,69,0,12.8,ZA,1661626095
167,Airai,-8.9266,125.4092,55.87,87,100,2.42,TL,1661626096
168,Tumaco,1.7986,-78.8156,81.18,71,100,14.36,CO,1661626096
169,Kruisfontein,-34.0033,24.7314,51.89,78,0,5.82,ZA,1661626097
170,College,64.8569,-147.8028,54.07,93,100,0.0,US,1661626097
171,Peoria,40.7667,-89.7668,86.47,62,20,5.75,US,1661625864
172,Ketchikan,55.3422,-131.6461,57.67,94,100,13.8,US,1661626098
173,Manito,13.1235,123.8693,79.12,87,87,2.75,PH,1661626098
174,Cabo San Lucas,22.8909,-109.9124,95.18,64,100,5.44,MX,1661625922
175,Norman Wells,65.282,-126.8329,60.84,72,75,5.75,CA,1661626099
176,Nanhai,30.1282,111.7784,68.34,87,99,7.87,CN,1661626099
177,São José da Coroa Grande,-8.8978,-35.1478,75.58,82,75,14.5,BR,1661626100
178,Chapais,49.7834,-74.8492,64.18,39,65,9.64,CA,1661626100
179,Bambous Virieux,-20.3428,57.7575,72.21,88,75,11.5,MU,1661626101
180,Bereda,43.2686,-7.5406,68.41,95,98,4.97,ES,1661626101
181,Faanui,-16.4833,-151.75,76.8,74,13,7.65,PF,1661626101
182,Abhā,18.2164,42.5053,69.62,64,40,0.0,SA,1661626102
183,Lagoa,39.05,-27.9833,73.69,89,19,18.1,PT,1661626102
184,Inhambane,-23.865,35.3833,71.58,94,20,11.5,MZ,1661625850
185,Woodstock,43.1334,-80.7497,78.66,72,0,1.01,CA,1661625692
186,Chadiza,-14.0678,32.4392,67.66,48,12,5.44,ZM,1661626103
187,Puerto del Rosario,28.5004,-13.8627,74.95,69,40,14.97,ES,1661626103
188,Baoqing,46.3317,132.2111,49.93,92,50,5.26,CN,1661626103
189,Oussouye,12.485,-16.5469,80.78,86,100,9.69,SN,1661626104
190,New Norfolk,-42.7826,147.0587,49.5,98,12,2.21,AU,1661626104
191,Yulara,-25.2406,130.9889,50.07,30,0,7.16,AU,1661626104
192,Caucaia,-3.7361,-38.6531,88.3,64,0,17.27,BR,1661626105
193,Kununurra,-15.7667,128.7333,55.38,82,5,3.44,AU,1661625992
194,Esperance,-33.8667,121.9,48.78,77,34,21.23,AU,1661626105
195,Chakradharpur,22.7,85.6333,77.7,91,100,4.54,IN,1661626106
196,Vilyuysk,63.7553,121.6247,45.99,93,99,2.35,RU,1661626106
197,Cape Town,-33.9258,18.4232,55.11,64,40,6.91,ZA,1661625952
198,Praia da Vitória,38.7333,-27.0667,80.85,78,40,15.9,PT,1661626107
199,Saskylakh,71.9167,114.0833,44.2,94,91,10.45,RU,1661626107
200,Paraíso,9.8383,-83.8656,72.46,82,100,3.53,CR,1661626108
201,Rock Sound,24.9,-76.2,83.35,69,67,7.05,BS,1661626108
202,Sobolevo,54.4299,31.8996,66.94,55,100,7.85,RU,1661625859
203,Severo-Kuril'sk,50.6789,156.125,56.73,99,100,8.59,RU,1661626108
204,Jerome,42.7241,-114.5186,81.88,29,0,16.11,US,1661626109
205,Sibolga,1.7427,98.7792,75.85,91,100,2.68,ID,1661626109
206,Puerto Baquerizo Moreno,-0.9,-89.6,72.59,73,75,9.22,EC,1661626109
207,Vardø,70.3705,31.1107,55.38,88,75,9.22,NO,1661626110
208,Pevek,69.7008,170.3133,36.36,89,100,3.24,RU,1661626110
209,Zandvoort,52.3749,4.5341,66.09,65,0,11.5,NL,1661626110
210,Plainview,40.7765,-73.4673,89.78,53,75,4.0,US,1661626101
211,Saldanha,-33.0117,17.9442,50.05,76,0,12.12,ZA,1661626111
212,Cidreira,-30.1811,-50.2056,75.6,57,0,4.27,BR,1661626111
213,Cheyenne,41.14,-104.8203,86.77,19,0,18.41,US,1661625915
214,Madanapalle,13.55,78.5,73.96,83,100,4.27,IN,1661626112
215,Aklavik,68.2191,-135.0107,59.76,60,15,8.23,CA,1661626112
216,Mana,5.6592,-53.7767,84.06,69,33,10.58,GF,1661626112
217,Mar del Plata,-38.0023,-57.5575,53.62,70,40,27.63,AR,1661625958
218,Fujin,47.26,132.0322,52.03,90,100,4.54,CN,1661626113
219,Sept-Îles,50.2001,-66.3821,68.52,49,40,13.8,CA,1661626113
220,Karratha,-20.7377,116.8463,67.86,35,0,9.35,AU,1661626046
221,Visby,57.6409,18.296,71.82,68,2,10.36,SE,1661626114
222,Deer Lake,49.1667,-57.4316,67.86,64,75,12.66,CA,1661626114
223,Aswān,24.0934,32.907,97.9,20,0,5.75,EG,1661626114
224,Ponta do Sol,32.6667,-17.1,74.03,61,48,2.86,PT,1661626115
225,Kumbo,6.2,10.6667,59.58,98,100,1.63,CM,1661626115
226,Oignies,50.4633,2.9938,70.03,55,0,12.66,FR,1661626115
227,Longyearbyen,78.2186,15.6401,37.24,65,20,17.27,SJ,1661626116
228,Black River,18.0264,-77.8487,85.96,67,66,7.58,JM,1661626116
229,Zatoka,46.0725,30.4654,76.14,64,11,8.99,UA,1661626116
230,Namatanai,-3.6667,152.4333,77.5,83,81,7.38,PG,1661626117
231,Salamiyah,35.0113,37.0532,82.9,36,0,4.45,SY,1661626117
232,East London,-33.0153,27.9116,58.14,77,0,8.05,ZA,1661626117
233,Fairbanks,64.8378,-147.7164,54.09,93,100,0.0,US,1661626118
234,St. George's,12.0564,-61.7485,85.68,74,20,18.41,GD,1661626118
235,Alofi,-19.0595,-169.9187,69.69,88,14,6.91,NU,1661626000
236,Vinh Long,10.25,105.9667,75.18,91,100,3.96,VN,1661626118
237,Verāval,20.9,70.3667,79.07,78,52,8.63,IN,1661626119
238,Mbuyapey,-26.2,-56.75,92.23,26,0,6.46,PY,1661626119
239,Natagaima,3.6206,-75.0941,96.69,27,97,0.72,CO,1661626119
240,Marsá Maţrūḩ,31.3525,27.2453,80.8,74,0,12.66,EG,1661626120
241,Port-Gentil,-0.7193,8.7815,75.16,83,40,10.36,GA,1661626120
242,Sadovoye,47.7764,44.5089,80.13,19,100,10.96,RU,1661626121
243,Manado,1.487,124.8455,74.17,94,20,2.3,ID,1661626121
244,Jieshi,22.8134,115.8257,83.73,84,100,4.79,CN,1661626121
245,San Quintín,30.4833,-115.95,74.19,72,11,11.68,MX,1661626122
246,Zhezkazgan,47.8043,67.7144,71.58,49,40,20.13,KZ,1661626122
247,Petropavlovsk-Kamchatskiy,53.0452,158.6483,50.59,100,75,6.71,RU,1661626122
248,Kota Kinabalu,5.9749,116.0724,76.98,94,20,5.01,MY,1661626123
249,Batemans Bay,-35.7167,150.1833,52.11,93,100,3.71,AU,1661626123
250,Acapulco de Juárez,16.8634,-99.8901,85.82,74,75,2.3,MX,1661626123
251,Dryden,49.7833,-92.7503,68.29,83,100,18.41,CA,1661625873
252,Provideniya,64.3833,-173.3,47.44,81,97,10.0,RU,1661626124
253,Vanimo,-2.6741,141.3028,76.6,91,83,5.86,PG,1661626124
254,Constitución,-35.3333,-72.4167,58.14,52,0,13.62,CL,1661626091
255,Itainópolis,-7.4469,-41.4783,93.7,19,81,8.5,BR,1661626125
256,Road Town,18.4167,-64.6167,87.89,66,40,10.36,VG,1661626125
257,Saint Paul Harbor,57.79,-152.4072,56.71,77,100,9.22,US,1661626126
258,Moerai,-22.4333,-151.3333,71.67,74,5,24.58,PF,1661625966
259,Quatre Cocos,-20.2078,57.7625,72.09,86,50,17.27,MU,1661626126
260,Nikolskoye,59.7035,30.7861,69.87,68,5,5.08,RU,1661626126
261,Poconé,-16.2567,-56.6228,101.84,16,5,6.44,BR,1661626127
262,Yumen,40.2833,97.2,64.31,49,100,7.05,CN,1661626127
263,Fes,34.0372,-4.9998,79.05,61,20,11.5,MA,1661626128
264,Te Anau,-45.4167,167.7167,34.41,94,27,0.98,NZ,1661626128
265,Khani,41.9563,42.9566,69.37,87,0,3.24,GE,1661626128
266,Formello,42.0801,12.3998,81.0,75,20,5.75,IT,1661626129
267,Shenjiamen,29.9576,122.298,78.8,72,100,14.14,CN,1661626129
268,Nemuro,43.3236,145.575,67.21,100,100,7.36,JP,1661626129
269,Beringovskiy,63.05,179.3167,48.15,85,100,9.84,RU,1661625993
270,Kaitangata,-46.2817,169.8464,45.14,87,100,2.91,NZ,1661625991
271,Miranda,3.2499,-76.2281,82.53,57,60,2.77,CO,1661625935
272,Kendari,-3.945,122.4989,72.46,95,97,3.51,ID,1661625832
273,Peski,55.2163,38.7626,71.42,40,99,6.38,RU,1661626130
274,Luanda,-8.8368,13.2343,71.6,78,22,6.91,AO,1661626131
275,Gazli,40.1333,63.45,80.1,14,0,10.07,UZ,1661626131
276,Blagaj,43.2575,17.8886,84.16,45,20,6.91,BA,1661626131
277,Medvedka,61.1629,46.387,65.95,72,6,5.57,RU,1661626132
278,Alexandria,31.2156,29.9553,80.56,69,40,11.5,EG,1661625893
279,Juneau,58.3019,-134.4197,55.22,97,100,16.11,US,1661626132
280,Shihezi,44.3,86.0333,70.27,29,0,6.96,CN,1661626133
281,Marabu,4.4148,114.0089,75.34,100,40,3.44,MY,1661626133
282,Erenhot,43.6475,111.9767,63.91,20,100,8.12,CN,1661626133
283,Muriwai Beach,-36.8167,174.45,48.42,97,4,4.81,NZ,1661626077
284,Itarema,-2.9248,-39.9167,82.56,63,10,19.64,BR,1661626134
285,Aasiaat,68.7098,-52.8699,37.74,82,74,6.29,GL,1661626134
286,Hāthras,27.6,78.05,87.94,51,100,6.26,IN,1661626134
287,Karasjok,69.4719,25.5112,51.48,83,100,20.33,NO,1661626135
288,Kloulklubed,7.0419,134.2556,77.5,73,100,5.19,PW,1661626135
289,Ferry Pass,30.5102,-87.2125,91.8,73,40,8.01,US,1661626136
290,Smolenka,52.1352,113.4974,42.87,100,91,0.0,RU,1661626136
291,Tuyen Quang,21.8233,105.2181,76.37,98,100,1.68,VN,1661626137
292,Marzuq,14.4,46.4667,79.79,54,77,10.74,YE,1661626137
293,Ojinaga,29.5667,-104.4167,90.41,51,0,3.44,MX,1661626137
294,Yar-Sale,66.8333,70.8333,42.3,76,100,5.86,RU,1661626138
295,Hervey Bay,-25.2986,152.8535,62.47,77,91,9.53,AU,1661626138
296,Scottsbluff,41.8666,-103.6672,91.78,22,0,11.5,US,1661626050
